,unacc,acc,good
0,2.0,40.0,58.0
1,62.0,17.0,21.0
2,8.0,90.0,2.0
3,53.0,39.0,8.0
4,10.0,88.0,2.0
5,89.0,10.0,1.0
6,44.0,29.0,27.0
7,82.0,14.0,4.0
8,13.0,35.0,52.0
9,75.0,4.0,21.0
10,17.0,34.0,49.0
11,76.0,14.0,10.0
12,19.0,68.0,13.0
13,58.0,25.0,17.0
14,7.0,13.0,80.0
15,54.0,17.0,29.0
16,7.0,16.0,77.0
17,78.0,11.0,11.0
18,7.0,52.0,41.0
19,89.0,11.0,0.0
20,17.0,7.0,76.0
21,62.0,9.0,29.0
22,5.0,90.0,5.0
23,2.0,47.0,51.0
24,10.0,50.0,40.0
25,9.0,47.0,44.0
26,6.0,52.0,42.0
27,12.0,49.0,39.0
28,16.0,76.0,8.0
29,2.0,92.0,6.0
30,7.0,84.0,9.0
31,3.0,38.0,59.0
32,0.0,98.0,2.0
33,18.0,23.0,59.0
34,26.0,16.0,58.0
35,20.0,29.0,51.0
36,52.0,26.0,22.0
37,0.0,96.0,4.0
38,6.0,42.0,52.0
39,7.0,88.0,5.0
40,3.0,38.0,59.0
41,4.0,41.0,55.0
42,3.0,42.0,55.0
43,13.0,10.0,77.0
44,14.0,9.0,77.0
45,34.0,29.0,37.0
46,0.0,98.0,2.0
47,4.0,44.0,52.0
48,3.0,45.0,52.0
49,14.0,10.0,76.0
50,4.0,7.0,89.0
51,23.0,22.0,55.0
52,16.0,26.0,58.0
53,22.0,29.0,49.0
54,26.0,18.0,56.0
55,54.0,25.0,21.0
56,2.0,44.0,54.0
57,1.0,44.0,55.0
58,50.0,17.0,33.0
59,0.0,95.0,5.0
60,3.0,42.0,55.0
61,21.0,66.0,13.0
62,3.0,44.0,53.0
63,24.0,53.0,23.0
64,18.0,10.0,72.0
65,12.0,40.0,48.0
66,13.0,45.0,42.0
67,15.0,36.0,49.0
68,25.0,45.0,30.0
69,18.0,73.0,9.0
70,14.0,82.0,4.0
71,1.0,93.0,6.0
72,0.0,93.0,7.0
73,1.0,92.0,7.0
74,0.0,45.0,55.0
75,4.0,11.0,85.0
76,24.0,49.0,27.0
77,3.0,92.0,5.0
78,14.0,64.0,22.0
79,5.0,38.0,57.0
80,30.0,52.0,18.0
81,11.0,69.0,20.0
82,3.0,40.0,57.0
83,6.0,92.0,2.0
84,6.0,91.0,3.0
85,21.0,11.0,68.0
86,10.0,48.0,42.0
87,14.0,49.0,37.0
88,15.0,44.0,41.0
89,29.0,49.0,22.0
90,8.0,84.0,8.0
91,25.0,70.0,5.0
92,6.0,87.0,7.0
93,2.0,38.0,60.0
94,5.0,36.0,59.0
95,5.0,41.0,54.0
96,8.0,39.0,53.0
97,1.0,3.0,96.0
98,26.0,6.0,68.0
99,28.0,12.0,60.0
100,63.0,10.0,27.0
101,0.0,96.0,4.0
102,6.0,44.0,50.0
103,8.0,42.0,50.0
104,54.0,3.0,43.0
105,59.0,6.0,35.0
106,13.0,67.0,20.0
107,49.0,15.0,36.0
108,7.0,88.0,5.0
109,1.0,98.0,1.0
110,6.0,38.0,56.0
111,6.0,38.0,56.0
112,28.0,9.0,63.0
113,49.0,23.0,28.0
114,5.0,89.0,6.0
115,7.0,87.0,6.0
116,6.0,42.0,52.0
117,25.0,12.0,63.0
118,32.0,15.0,53.0
119,54.0,31.0,15.0
120,5.0,89.0,6.0
121,1.0,97.0,2.0
122,1.0,97.0,2.0
123,4.0,42.0,54.0
124,31.0,6.0,63.0
125,5.0,39.0,56.0
126,46.0,10.0,44.0
127,17.0,70.0,13.0
128,5.0,42.0,53.0
129,55.0,17.0,28.0
130,50.0,40.0,10.0
131,7.0,46.0,47.0
132,5.0,46.0,49.0
133,31.0,29.0,40.0
134,35.0,26.0,39.0
135,41.0,37.0,22.0
136,46.0,42.0,12.0
137,53.0,39.0,8.0
138,41.0,57.0,2.0
139,5.0,44.0,51.0
140,10.0,88.0,2.0
141,18.0,65.0,17.0
142,8.0,39.0,53.0
143,58.0,9.0,33.0
144,4.0,94.0,2.0
145,14.0,71.0,15.0
146,57.0,12.0,31.0
147,29.0,71.0,0.0
148,37.0,45.0,18.0
149,40.0,52.0,8.0
150,38.0,46.0,16.0
151,37.0,57.0,6.0
152,16.0,84.0,0.0
153,5.0,93.0,2.0
154,5.0,47.0,48.0
155,3.0,49.0,48.0
156,42.0,10.0,48.0
157,33.0,22.0,45.0
158,45.0,10.0,45.0
159,92.0,8.0,0.0
160,32.0,21.0,47.0
161,42.0,3.0,55.0
162,26.0,20.0,54.0
163,36.0,12.0,52.0
164,29.0,1.0,70.0
165,41.0,16.0,43.0
166,34.0,11.0,55.0
167,45.0,4.0,51.0
168,94.0,6.0,0.0
169,25.0,24.0,51.0
170,34.0,24.0,42.0
171,39.0,54.0,7.0
172,34.0,21.0,45.0
173,48.0,23.0,29.0
174,39.0,1.0,60.0
175,72.0,5.0,23.0
176,37.0,0.0,63.0
177,75.0,12.0,13.0
178,33.0,19.0,48.0
179,87.0,12.0,1.0
180,46.0,23.0,31.0
181,76.0,11.0,13.0
182,47.0,1.0,52.0
183,57.0,8.0,35.0
184,81.0,7.0,12.0
185,48.0,0.0,52.0
186,78.0,11.0,11.0
187,46.0,3.0,51.0
188,73.0,15.0,12.0
189,43.0,57.0,0.0
190,30.0,22.0,48.0
191,53.0,4.0,43.0
192,52.0,4.0,44.0
193,86.0,14.0,0.0
194,52.0,25.0,23.0
195,76.0,5.0,19.0
196,48.0,52.0,0.0
197,45.0,22.0,33.0
198,49.0,25.0,26.0
199,61.0,0.0,39.0
200,84.0,16.0,0.0
201,42.0,58.0,0.0
202,45.0,23.0,32.0
203,49.0,26.0,25.0
204,78.0,18.0,4.0
205,72.0,26.0,2.0
206,65.0,6.0,29.0
207,69.0,30.0,1.0
208,68.0,13.0,19.0
209,69.0,27.0,4.0
210,53.0,46.0,1.0
211,86.0,14.0,0.0
212,49.0,49.0,2.0
213,88.0,10.0,2.0
214,45.0,25.0,30.0
215,56.0,1.0,43.0
216,66.0,12.0,22.0
217,74.0,12.0,14.0
