,buying price,maintanence price,doors,capacity (persons),luggage boot size,estimated safety,class_pred,class
0,2,2,4,5,2,0,0,0
1,1,1,5,2,2,0,1,1
2,0,1,2,2,2,0,0,0
3,0,3,3,4,2,2,0,2
4,2,3,4,2,0,1,1,1
5,0,2,2,4,0,1,0,2
6,2,1,5,2,2,2,2,2
7,0,2,3,4,2,1,0,2
8,3,3,2,4,0,1,2,2
9,3,0,5,2,0,2,1,1
10,3,1,4,4,1,1,2,2
11,0,2,5,2,2,0,0,0
12,3,3,5,4,1,1,2,2
13,0,1,3,2,0,0,0,0
14,1,0,5,4,2,0,1,1
15,1,0,4,2,1,2,1,1
16,1,3,3,4,0,2,2,2
17,0,2,3,4,0,1,0,2
18,3,0,3,4,0,0,2,2
19,2,2,3,2,1,1,1,1
20,1,3,2,2,2,0,1,1
21,1,3,2,4,0,1,2,2
22,1,1,2,4,2,2,1,1
23,0,1,4,4,0,1,0,0
24,2,0,5,4,0,0,2,2
25,3,3,5,4,2,0,0,0
26,1,2,4,4,1,0,2,2
27,0,2,5,2,1,0,0,0
28,2,1,5,4,2,0,1,1
29,2,3,3,2,2,0,1,1
30,3,0,3,4,2,1,1,1
31,0,2,2,2,0,0,0,0
32,2,2,2,4,0,2,2,2
33,3,2,3,4,0,0,2,2
34,0,1,5,2,2,0,0,0
35,2,0,5,2,2,2,2,2
36,0,1,3,4,0,2,0,1
37,1,1,2,4,2,0,0,0
38,0,2,3,4,1,1,0,2
39,0,2,4,2,1,0,0,0
40,0,0,4,2,1,2,0,0
41,0,0,5,4,0,2,0,1
42,1,0,2,2,1,2,1,1
43,2,1,2,2,2,0,1,1
44,1,3,3,4,0,1,2,2
45,1,2,4,2,0,2,1,1
46,3,2,2,4,2,1,1,1
47,2,3,4,4,0,2,2,2
48,2,0,3,4,1,1,2,2
49,3,0,2,2,0,1,1,1
50,2,2,4,4,2,2,1,1
51,2,0,3,2,1,1,1,1
52,2,0,3,4,2,0,1,1
53,3,3,2,4,1,1,2,2
54,2,3,3,2,0,0,1,1
55,1,0,3,4,0,2,0,1
56,1,1,5,4,1,2,0,0
57,2,1,3,4,1,0,2,2
58,2,3,3,2,0,2,1,1
59,3,3,3,4,2,0,0,0
60,2,2,2,2,0,2,1,1
61,1,2,5,2,2,0,1,1
62,0,2,5,4,2,2,0,0
63,0,1,3,2,1,0,0,0
64,0,0,5,2,0,0,0,0
65,3,0,4,2,1,1,1,1
66,3,3,3,4,2,0,0,0
67,2,3,5,2,0,1,1,1
68,3,1,5,4,2,2,1,1
69,1,3,4,2,0,0,1,1
70,0,1,3,2,2,0,0,0
71,0,0,2,2,0,1,0,0
72,0,3,4,2,0,0,0,0
73,2,2,5,4,0,1,2,2
74,2,2,2,4,0,1,2,2
75,3,3,4,2,2,2,2,2
76,2,1,4,4,2,2,1,1
77,1,3,3,2,1,2,1,1
78,0,0,2,2,0,1,0,0
79,1,2,4,2,2,0,1,1
80,3,1,5,4,2,0,1,1
81,2,3,3,4,2,2,0,1
82,0,3,5,2,1,0,0,0
83,2,1,2,4,2,0,0,1
84,3,2,5,2,1,0,1,1
85,0,1,5,2,1,2,1,1
86,0,2,4,2,0,1,1,1
