,Unnamed: 0,buying price,maintanence price,doors,capacity (persons),luggage boot size,estimated safety,class_pred,class
220,220,0,0,3,2,2,2,0,0
15,15,1,1,2,4,0,2,0,0
206,206,0,1,4,5,1,0,0,2
18,18,3,1,4,5,0,1,1,1
30,30,3,0,5,2,1,2,1,1
88,88,2,0,4,5,1,0,2,1
97,97,1,3,4,4,1,0,2,2
119,119,1,2,4,5,2,2,0,1
154,154,1,0,5,2,2,1,2,2
144,144,1,0,3,2,0,0,1,1
112,112,1,2,3,4,0,2,2,2
58,58,2,2,5,4,2,0,0,0
230,230,2,0,2,4,0,2,2,0
258,258,0,2,4,5,1,2,0,0
125,125,1,1,2,2,2,2,2,2
44,44,2,2,3,4,1,2,2,2
265,265,0,0,5,2,2,1,0,0
98,98,1,3,4,5,1,0,2,2
0,0,3,3,3,2,2,1,2,2
9,9,0,0,5,4,1,0,0,0
0,0,3,3,3,2,2,1,2,2
101,101,1,3,5,2,1,1,1,1
100,100,1,3,4,5,2,1,0,2
99,99,1,3,4,5,1,1,2,2
22,22,3,0,4,2,1,2,1,1
167,167,0,3,4,5,2,1,2,2
113,113,1,2,3,4,2,2,0,1
136,136,1,1,4,5,1,2,1,1
53,53,2,2,4,5,0,2,2,1
114,114,1,2,4,2,0,0,1,1
184,184,0,2,4,5,0,2,0,0
239,239,1,1,4,5,2,0,1,0
226,226,0,0,5,2,1,0,0,0
255,255,1,1,4,5,1,0,2,0
236,236,1,1,4,4,1,2,0,0
30,30,3,0,5,2,1,2,1,1
137,137,1,1,4,5,2,0,1,0
110,110,1,2,3,2,2,1,2,2
180,180,0,2,4,2,2,2,2,2
60,60,2,1,2,2,2,1,2,2
