,buying price,maintanence price,doors,capacity (persons),luggage boot size,estimated safety,class_pred,class
0,0.0,0.0,2.0,4.0,1.0,2.0,3,1
1,0.0,0.0,5.0,5.0,1.0,1.0,1,1
2,0.0,0.0,4.0,5.0,1.0,2.0,3,3
3,0.0,2.0,5.0,2.0,1.0,1.0,2,2
4,0.0,1.0,4.0,4.0,2.0,2.0,3,3
5,0.0,1.0,4.0,5.0,2.0,1.0,1,1
6,1.0,0.0,4.0,4.0,2.0,2.0,3,3
7,1.0,0.0,4.0,4.0,2.0,2.0,3,3
8,0.0,2.0,2.0,5.0,2.0,0.0,2,2
9,0.0,2.0,4.0,4.0,2.0,0.0,2,2
10,0.0,0.0,2.0,5.0,1.0,2.0,3,1
11,2.0,1.0,5.0,5.0,0.0,1.0,2,2
12,0.0,2.0,2.0,4.0,0.0,1.0,0,0
13,2.0,2.0,2.0,2.0,2.0,0.0,2,2
14,2.0,2.0,4.0,5.0,1.0,0.0,2,2
15,0.0,3.0,5.0,4.0,0.0,1.0,0,2
16,3.0,2.0,3.0,2.0,1.0,0.0,2,2
17,0.0,0.0,3.0,5.0,0.0,2.0,1,1
18,3.0,3.0,3.0,5.0,1.0,1.0,2,2
19,0.0,0.0,3.0,4.0,1.0,2.0,3,1
20,3.0,0.0,2.0,4.0,0.0,0.0,2,2
21,0.0,0.0,4.0,4.0,0.0,2.0,1,1
22,1.0,0.0,2.0,4.0,0.0,2.0,1,1
23,1.0,0.0,5.0,5.0,1.0,2.0,3,3
24,0.0,3.0,4.0,4.0,1.0,0.0,2,2
25,1.0,0.0,5.0,4.0,1.0,1.0,1,1
26,1.0,0.0,4.0,5.0,2.0,1.0,1,1
27,2.0,3.0,3.0,2.0,2.0,2.0,2,2
28,0.0,0.0,4.0,4.0,2.0,2.0,3,3
29,3.0,1.0,4.0,2.0,2.0,0.0,2,2
30,1.0,1.0,5.0,5.0,2.0,1.0,1,0
31,3.0,3.0,2.0,5.0,1.0,1.0,2,2
32,0.0,0.0,2.0,4.0,2.0,2.0,3,3
33,0.0,1.0,4.0,4.0,2.0,2.0,3,3
34,1.0,0.0,5.0,5.0,1.0,1.0,1,1
35,2.0,3.0,5.0,2.0,2.0,2.0,2,2
36,1.0,0.0,5.0,4.0,0.0,2.0,1,1
37,0.0,0.0,4.0,2.0,0.0,1.0,2,2
38,2.0,2.0,3.0,4.0,0.0,2.0,0,0
39,0.0,1.0,4.0,4.0,0.0,2.0,1,1
40,0.0,1.0,2.0,4.0,2.0,2.0,3,3
41,0.0,2.0,5.0,4.0,2.0,2.0,3,3
42,3.0,0.0,2.0,4.0,2.0,1.0,0,0
43,0.0,0.0,4.0,5.0,1.0,1.0,1,1
44,2.0,2.0,2.0,4.0,1.0,2.0,0,0
45,1.0,1.0,2.0,5.0,2.0,0.0,2,2
46,0.0,0.0,5.0,5.0,0.0,2.0,1,1
47,1.0,1.0,5.0,5.0,2.0,2.0,3,3
48,1.0,2.0,2.0,2.0,2.0,2.0,2,2
49,1.0,3.0,4.0,2.0,2.0,1.0,2,2
50,1.0,0.0,5.0,5.0,2.0,1.0,1,1
51,0.0,1.0,5.0,4.0,2.0,1.0,1,1
52,0.0,1.0,3.0,4.0,2.0,2.0,3,3
53,0.0,3.0,4.0,4.0,2.0,1.0,0,0
54,2.0,2.0,5.0,4.0,1.0,2.0,0,0
55,1.0,1.0,5.0,5.0,1.0,0.0,2,2
56,3.0,3.0,2.0,5.0,1.0,2.0,2,2
57,0.0,0.0,4.0,5.0,2.0,1.0,1,1
58,3.0,0.0,5.0,2.0,0.0,0.0,2,2
59,0.0,2.0,4.0,5.0,2.0,2.0,3,3
60,0.0,0.0,2.0,5.0,1.0,1.0,1,0
61,1.0,0.0,4.0,5.0,2.0,1.0,1,1
62,0.0,2.0,4.0,4.0,1.0,2.0,3,3
63,2.0,1.0,2.0,4.0,2.0,2.0,0,0
64,0.0,1.0,4.0,4.0,0.0,2.0,1,1
65,0.0,3.0,5.0,5.0,1.0,1.0,0,0
66,0.0,0.0,2.0,4.0,1.0,0.0,2,2
67,0.0,2.0,2.0,4.0,0.0,2.0,0,0
68,2.0,0.0,2.0,5.0,1.0,2.0,0,0
69,0.0,2.0,3.0,5.0,1.0,2.0,3,3
70,1.0,1.0,4.0,4.0,1.0,2.0,3,3
71,3.0,0.0,4.0,4.0,0.0,2.0,0,0
72,0.0,2.0,5.0,4.0,1.0,2.0,3,3
73,1.0,0.0,5.0,5.0,2.0,1.0,1,1
74,0.0,0.0,4.0,5.0,0.0,2.0,1,1
75,1.0,1.0,2.0,5.0,2.0,2.0,3,3
76,0.0,0.0,4.0,5.0,0.0,2.0,1,1
77,1.0,0.0,4.0,4.0,1.0,2.0,3,3
78,0.0,1.0,4.0,4.0,0.0,2.0,1,1
79,0.0,2.0,2.0,4.0,2.0,2.0,3,3
80,2.0,3.0,3.0,5.0,1.0,2.0,2,2
81,0.0,1.0,2.0,5.0,2.0,1.0,1,1
82,0.0,1.0,5.0,4.0,1.0,1.0,1,1
83,0.0,0.0,4.0,4.0,2.0,1.0,1,1
84,3.0,0.0,3.0,5.0,1.0,2.0,0,0
85,3.0,1.0,2.0,4.0,0.0,2.0,0,0
86,1.0,1.0,3.0,4.0,2.0,2.0,3,3
87,2.0,0.0,4.0,5.0,1.0,1.0,0,0
88,0.0,1.0,5.0,5.0,1.0,1.0,1,1
89,1.0,0.0,4.0,5.0,1.0,1.0,1,1
90,0.0,0.0,3.0,2.0,2.0,1.0,2,2
91,1.0,1.0,2.0,2.0,1.0,2.0,2,2
92,0.0,1.0,5.0,5.0,2.0,2.0,3,3
93,1.0,3.0,3.0,5.0,0.0,1.0,2,2
94,2.0,1.0,3.0,4.0,2.0,2.0,0,0
95,0.0,0.0,4.0,5.0,2.0,2.0,3,3
96,3.0,1.0,4.0,5.0,0.0,1.0,2,2
97,0.0,0.0,4.0,4.0,1.0,1.0,1,1
98,3.0,2.0,5.0,4.0,1.0,2.0,0,2
99,3.0,1.0,4.0,4.0,1.0,1.0,0,0
100,3.0,1.0,4.0,5.0,2.0,1.0,0,0
101,0.0,2.0,4.0,4.0,0.0,1.0,0,0
102,0.0,1.0,5.0,5.0,1.0,2.0,3,3
103,1.0,0.0,5.0,4.0,0.0,2.0,1,1
104,0.0,1.0,3.0,5.0,1.0,2.0,3,3
105,3.0,1.0,4.0,5.0,2.0,1.0,0,0
106,3.0,3.0,4.0,2.0,2.0,1.0,2,2
107,0.0,1.0,3.0,4.0,2.0,1.0,1,1
108,0.0,1.0,2.0,4.0,2.0,2.0,3,3
109,0.0,1.0,4.0,5.0,1.0,2.0,3,3
110,3.0,0.0,2.0,4.0,2.0,2.0,0,0
111,0.0,2.0,4.0,4.0,1.0,2.0,3,3
112,1.0,3.0,4.0,4.0,2.0,1.0,0,0
113,0.0,0.0,3.0,5.0,2.0,1.0,1,1
114,3.0,1.0,5.0,4.0,2.0,1.0,0,0
115,0.0,2.0,5.0,4.0,1.0,2.0,3,3
116,1.0,3.0,2.0,5.0,0.0,1.0,2,2
117,3.0,2.0,2.0,5.0,2.0,2.0,2,2
118,0.0,1.0,5.0,4.0,0.0,1.0,0,0
119,0.0,0.0,4.0,4.0,1.0,1.0,1,1
120,1.0,2.0,5.0,5.0,1.0,2.0,3,0
121,0.0,2.0,2.0,5.0,2.0,2.0,3,3
122,3.0,1.0,5.0,4.0,1.0,2.0,0,0
123,0.0,0.0,5.0,2.0,0.0,1.0,2,2
124,0.0,0.0,4.0,5.0,1.0,2.0,3,3
125,0.0,0.0,3.0,4.0,0.0,1.0,0,0
126,1.0,2.0,3.0,5.0,2.0,2.0,0,0
127,3.0,1.0,3.0,5.0,2.0,1.0,0,0
128,0.0,0.0,5.0,5.0,2.0,2.0,3,3
129,0.0,2.0,4.0,5.0,2.0,2.0,3,3
130,1.0,3.0,5.0,5.0,2.0,2.0,0,0
131,0.0,1.0,2.0,4.0,2.0,1.0,1,1
132,0.0,1.0,5.0,5.0,1.0,2.0,3,3
133,0.0,0.0,5.0,4.0,1.0,1.0,1,1
134,1.0,0.0,3.0,5.0,2.0,1.0,1,1
135,2.0,2.0,4.0,4.0,1.0,1.0,0,0
136,3.0,1.0,4.0,5.0,2.0,2.0,0,0
137,2.0,2.0,3.0,5.0,0.0,2.0,0,0
138,2.0,2.0,2.0,5.0,2.0,2.0,0,0
139,1.0,1.0,3.0,5.0,1.0,2.0,3,3
140,0.0,0.0,4.0,4.0,1.0,2.0,3,3
141,0.0,0.0,5.0,4.0,0.0,2.0,1,1
142,1.0,0.0,4.0,5.0,2.0,1.0,1,1
143,2.0,1.0,5.0,4.0,2.0,1.0,0,0
144,1.0,1.0,2.0,5.0,1.0,1.0,1,0
145,1.0,0.0,5.0,5.0,2.0,1.0,1,1
146,3.0,1.0,5.0,4.0,0.0,2.0,0,0
147,1.0,1.0,5.0,4.0,2.0,0.0,2,2
148,3.0,2.0,5.0,2.0,2.0,1.0,2,2
149,0.0,0.0,2.0,4.0,1.0,1.0,1,0
150,0.0,1.0,4.0,4.0,1.0,2.0,3,3
151,1.0,0.0,2.0,4.0,0.0,2.0,1,1
152,0.0,2.0,2.0,5.0,2.0,2.0,3,3
153,0.0,0.0,2.0,4.0,2.0,2.0,3,3
154,3.0,2.0,2.0,4.0,0.0,1.0,2,2
155,3.0,1.0,3.0,5.0,0.0,0.0,2,2
156,2.0,2.0,4.0,2.0,1.0,1.0,2,2
157,0.0,0.0,2.0,5.0,1.0,2.0,3,1
158,1.0,3.0,3.0,4.0,1.0,2.0,0,0
159,0.0,1.0,4.0,4.0,1.0,1.0,1,1
160,0.0,3.0,4.0,4.0,1.0,2.0,0,0
161,1.0,2.0,5.0,2.0,1.0,0.0,2,2
162,1.0,1.0,3.0,4.0,0.0,0.0,2,2
163,3.0,1.0,5.0,5.0,2.0,1.0,0,0
164,1.0,1.0,5.0,5.0,1.0,2.0,3,3
165,1.0,0.0,3.0,5.0,0.0,2.0,1,1
166,0.0,2.0,4.0,5.0,1.0,2.0,3,3
167,0.0,2.0,5.0,4.0,2.0,2.0,3,3
168,0.0,0.0,4.0,5.0,1.0,2.0,3,3
169,1.0,0.0,2.0,5.0,1.0,2.0,3,1
170,0.0,2.0,3.0,4.0,1.0,2.0,3,0
171,1.0,0.0,3.0,4.0,1.0,2.0,3,1
172,0.0,2.0,2.0,4.0,2.0,2.0,3,3
173,0.0,1.0,3.0,2.0,1.0,2.0,2,2
174,3.0,1.0,2.0,4.0,0.0,1.0,2,2
175,3.0,3.0,2.0,4.0,2.0,2.0,2,2
176,0.0,1.0,3.0,4.0,0.0,2.0,1,1
177,0.0,2.0,3.0,4.0,2.0,2.0,3,3
178,3.0,0.0,2.0,5.0,2.0,2.0,0,0
179,0.0,0.0,4.0,4.0,0.0,1.0,0,0
180,0.0,0.0,2.0,4.0,2.0,2.0,3,3
181,0.0,1.0,3.0,4.0,1.0,2.0,3,1
182,1.0,0.0,3.0,4.0,1.0,2.0,3,1
183,3.0,0.0,5.0,4.0,1.0,1.0,0,0
184,2.0,0.0,3.0,5.0,2.0,1.0,0,0
185,1.0,2.0,2.0,4.0,2.0,1.0,0,0
186,1.0,2.0,5.0,4.0,0.0,0.0,2,2
187,0.0,1.0,2.0,4.0,2.0,2.0,3,3
188,0.0,0.0,5.0,5.0,1.0,1.0,1,1
189,1.0,0.0,3.0,5.0,1.0,1.0,1,1
190,2.0,2.0,3.0,2.0,1.0,2.0,2,2
191,3.0,1.0,2.0,4.0,1.0,1.0,0,2
192,3.0,1.0,3.0,4.0,1.0,2.0,0,0
193,3.0,3.0,5.0,2.0,1.0,2.0,2,2
194,2.0,3.0,2.0,2.0,2.0,2.0,2,2
195,0.0,0.0,5.0,4.0,0.0,2.0,1,1
196,2.0,1.0,5.0,5.0,2.0,2.0,0,0
197,0.0,0.0,2.0,5.0,1.0,2.0,3,1
198,1.0,3.0,5.0,4.0,0.0,2.0,0,0
199,3.0,1.0,4.0,5.0,0.0,2.0,0,0
200,0.0,2.0,5.0,4.0,2.0,1.0,0,0
201,3.0,1.0,2.0,5.0,2.0,2.0,0,0
202,0.0,1.0,2.0,4.0,0.0,2.0,1,1
203,3.0,0.0,3.0,4.0,0.0,2.0,0,0
204,1.0,0.0,4.0,5.0,2.0,2.0,3,3
205,0.0,1.0,4.0,5.0,1.0,2.0,3,3
206,0.0,2.0,3.0,2.0,1.0,2.0,2,2
207,1.0,0.0,5.0,4.0,2.0,1.0,1,1
208,1.0,2.0,2.0,5.0,2.0,2.0,0,0
209,0.0,3.0,4.0,5.0,0.0,0.0,2,2
210,0.0,1.0,2.0,2.0,2.0,1.0,2,2
211,0.0,0.0,3.0,4.0,2.0,1.0,1,1
212,1.0,3.0,4.0,5.0,2.0,2.0,0,0
213,1.0,3.0,4.0,4.0,2.0,2.0,0,0
214,0.0,1.0,3.0,4.0,2.0,1.0,1,1
215,1.0,0.0,5.0,4.0,0.0,2.0,1,1
216,2.0,2.0,5.0,4.0,2.0,2.0,0,0
217,1.0,2.0,2.0,5.0,2.0,0.0,2,2
218,3.0,0.0,2.0,5.0,1.0,1.0,0,2
219,2.0,2.0,2.0,5.0,0.0,0.0,2,2
220,0.0,0.0,2.0,5.0,1.0,2.0,3,1
221,0.0,3.0,4.0,5.0,2.0,2.0,0,0
222,1.0,0.0,5.0,5.0,2.0,2.0,3,3
223,1.0,1.0,2.0,4.0,2.0,2.0,3,3
224,3.0,1.0,3.0,4.0,1.0,2.0,0,0
225,0.0,1.0,2.0,4.0,1.0,1.0,1,0
226,2.0,1.0,3.0,5.0,0.0,2.0,0,0
