index,buying price,maintanence price,doors,capacity (persons),luggage boot size,estimated safety,class
0,3,3,2,2,0,0,2
1,3,3,2,2,0,1,2
2,3,3,2,2,0,2,2
3,3,3,2,2,1,0,2
4,3,3,2,2,1,1,2
5,3,3,2,2,1,2,2
6,3,3,2,2,2,0,2
7,3,3,2,2,2,1,2
8,3,3,2,2,2,2,2
9,3,3,2,4,0,0,2
10,3,3,2,4,0,1,2
11,3,3,2,4,0,2,2
12,3,3,2,4,1,0,2
13,3,3,2,4,1,1,2
14,3,3,2,4,1,2,2
15,3,3,2,4,2,0,2
16,3,3,2,4,2,1,2
17,3,3,2,4,2,2,2
18,3,3,2,5,0,0,2
19,3,3,2,5,0,1,2
20,3,3,2,5,0,2,2
21,3,3,2,5,1,0,2
22,3,3,2,5,1,1,2
23,3,3,2,5,1,2,2
24,3,3,2,5,2,0,2
25,3,3,2,5,2,1,2
26,3,3,2,5,2,2,2
27,3,3,3,2,0,0,2
28,3,3,3,2,0,1,2
29,3,3,3,2,0,2,2
30,3,3,3,2,1,0,2
31,3,3,3,2,1,1,2
32,3,3,3,2,1,2,2
33,3,3,3,2,2,0,2
34,3,3,3,2,2,1,2
35,3,3,3,2,2,2,2
36,3,3,3,4,0,0,2
37,3,3,3,4,0,1,2
38,3,3,3,4,0,2,2
39,3,3,3,4,1,0,2
40,3,3,3,4,1,1,2
41,3,3,3,4,1,2,2
42,3,3,3,4,2,0,2
43,3,3,3,4,2,1,2
44,3,3,3,4,2,2,2
45,3,3,3,5,0,0,2
46,3,3,3,5,0,1,2
47,3,3,3,5,0,2,2
48,3,3,3,5,1,0,2
49,3,3,3,5,1,1,2
50,3,3,3,5,1,2,2
51,3,3,3,5,2,0,2
52,3,3,3,5,2,1,2
53,3,3,3,5,2,2,2
54,3,3,4,2,0,0,2
55,3,3,4,2,0,1,2
56,3,3,4,2,0,2,2
57,3,3,4,2,1,0,2
58,3,3,4,2,1,1,2
59,3,3,4,2,1,2,2
60,3,3,4,2,2,0,2
61,3,3,4,2,2,1,2
62,3,3,4,2,2,2,2
63,3,3,4,4,0,0,2
64,3,3,4,4,0,1,2
65,3,3,4,4,0,2,2
66,3,3,4,4,1,0,2
67,3,3,4,4,1,1,2
68,3,3,4,4,1,2,2
69,3,3,4,4,2,0,2
70,3,3,4,4,2,1,2
71,3,3,4,4,2,2,2
72,3,3,4,5,0,0,2
73,3,3,4,5,0,1,2
74,3,3,4,5,0,2,2
75,3,3,4,5,1,0,2
76,3,3,4,5,1,1,2
77,3,3,4,5,1,2,2
78,3,3,4,5,2,0,2
79,3,3,4,5,2,1,2
80,3,3,4,5,2,2,2
81,3,3,5,2,0,0,2
82,3,3,5,2,0,1,2
83,3,3,5,2,0,2,2
84,3,3,5,2,1,0,2
85,3,3,5,2,1,1,2
86,3,3,5,2,1,2,2
87,3,3,5,2,2,0,2
88,3,3,5,2,2,1,2
89,3,3,5,2,2,2,2
90,3,3,5,4,0,0,2
91,3,3,5,4,0,1,2
92,3,3,5,4,0,2,2
93,3,3,5,4,1,0,2
94,3,3,5,4,1,1,2
95,3,3,5,4,1,2,2
96,3,3,5,4,2,0,2
97,3,3,5,4,2,1,2
98,3,3,5,4,2,2,2
99,3,3,5,5,0,0,2
100,3,3,5,5,0,1,2
101,3,3,5,5,0,2,2
102,3,3,5,5,1,0,2
103,3,3,5,5,1,1,2
104,3,3,5,5,1,2,2
105,3,3,5,5,2,0,2
106,3,3,5,5,2,1,2
107,3,3,5,5,2,2,2
108,3,2,2,2,0,0,2
109,3,2,2,2,0,1,2
110,3,2,2,2,0,2,2
111,3,2,2,2,1,0,2
112,3,2,2,2,1,1,2
113,3,2,2,2,1,2,2
114,3,2,2,2,2,0,2
115,3,2,2,2,2,1,2
116,3,2,2,2,2,2,2
117,3,2,2,4,0,0,2
118,3,2,2,4,0,1,2
119,3,2,2,4,0,2,2
120,3,2,2,4,1,0,2
121,3,2,2,4,1,1,2
122,3,2,2,4,1,2,2
123,3,2,2,4,2,0,2
124,3,2,2,4,2,1,2
125,3,2,2,4,2,2,2
126,3,2,2,5,0,0,2
127,3,2,2,5,0,1,2
128,3,2,2,5,0,2,2
129,3,2,2,5,1,0,2
130,3,2,2,5,1,1,2
131,3,2,2,5,1,2,2
132,3,2,2,5,2,0,2
133,3,2,2,5,2,1,2
134,3,2,2,5,2,2,2
135,3,2,3,2,0,0,2
136,3,2,3,2,0,1,2
137,3,2,3,2,0,2,2
138,3,2,3,2,1,0,2
139,3,2,3,2,1,1,2
140,3,2,3,2,1,2,2
141,3,2,3,2,2,0,2
142,3,2,3,2,2,1,2
143,3,2,3,2,2,2,2
144,3,2,3,4,0,0,2
145,3,2,3,4,0,1,2
146,3,2,3,4,0,2,2
147,3,2,3,4,1,0,2
148,3,2,3,4,1,1,2
149,3,2,3,4,1,2,2
150,3,2,3,4,2,0,2
151,3,2,3,4,2,1,2
152,3,2,3,4,2,2,2
153,3,2,3,5,0,0,2
154,3,2,3,5,0,1,2
155,3,2,3,5,0,2,2
156,3,2,3,5,1,0,2
157,3,2,3,5,1,1,2
158,3,2,3,5,1,2,2
159,3,2,3,5,2,0,2
160,3,2,3,5,2,1,2
161,3,2,3,5,2,2,2
162,3,2,4,2,0,0,2
163,3,2,4,2,0,1,2
164,3,2,4,2,0,2,2
165,3,2,4,2,1,0,2
166,3,2,4,2,1,1,2
167,3,2,4,2,1,2,2
168,3,2,4,2,2,0,2
169,3,2,4,2,2,1,2
170,3,2,4,2,2,2,2
171,3,2,4,4,0,0,2
172,3,2,4,4,0,1,2
173,3,2,4,4,0,2,2
174,3,2,4,4,1,0,2
175,3,2,4,4,1,1,2
176,3,2,4,4,1,2,2
177,3,2,4,4,2,0,2
178,3,2,4,4,2,1,2
179,3,2,4,4,2,2,2
180,3,2,4,5,0,0,2
181,3,2,4,5,0,1,2
182,3,2,4,5,0,2,2
183,3,2,4,5,1,0,2
184,3,2,4,5,1,1,2
185,3,2,4,5,1,2,2
186,3,2,4,5,2,0,2
187,3,2,4,5,2,1,2
188,3,2,4,5,2,2,2
189,3,2,5,2,0,0,2
190,3,2,5,2,0,1,2
191,3,2,5,2,0,2,2
192,3,2,5,2,1,0,2
193,3,2,5,2,1,1,2
194,3,2,5,2,1,2,2
195,3,2,5,2,2,0,2
196,3,2,5,2,2,1,2
197,3,2,5,2,2,2,2
198,3,2,5,4,0,0,2
199,3,2,5,4,0,1,2
200,3,2,5,4,0,2,2
201,3,2,5,4,1,0,2
202,3,2,5,4,1,1,2
203,3,2,5,4,1,2,2
204,3,2,5,4,2,0,2
205,3,2,5,4,2,1,2
206,3,2,5,4,2,2,2
207,3,2,5,5,0,0,2
208,3,2,5,5,0,1,2
209,3,2,5,5,0,2,2
210,3,2,5,5,1,0,2
211,3,2,5,5,1,1,2
212,3,2,5,5,1,2,2
213,3,2,5,5,2,0,2
214,3,2,5,5,2,1,2
215,3,2,5,5,2,2,2
216,3,1,2,2,0,0,2
217,3,1,2,2,0,1,2
218,3,1,2,2,0,2,2
219,3,1,2,2,1,0,2
220,3,1,2,2,1,1,2
221,3,1,2,2,1,2,2
222,3,1,2,2,2,0,2
223,3,1,2,2,2,1,2
224,3,1,2,2,2,2,2
225,3,1,2,4,0,0,2
226,3,1,2,4,0,1,2
227,3,1,2,4,0,2,0
228,3,1,2,4,1,0,2
229,3,1,2,4,1,1,2
230,3,1,2,4,1,2,0
231,3,1,2,4,2,0,2
232,3,1,2,4,2,1,0
233,3,1,2,4,2,2,0
234,3,1,2,5,0,0,2
235,3,1,2,5,0,1,2
236,3,1,2,5,0,2,2
237,3,1,2,5,1,0,2
238,3,1,2,5,1,1,2
239,3,1,2,5,1,2,0
240,3,1,2,5,2,0,2
241,3,1,2,5,2,1,0
242,3,1,2,5,2,2,0
243,3,1,3,2,0,0,2
244,3,1,3,2,0,1,2
245,3,1,3,2,0,2,2
246,3,1,3,2,1,0,2
247,3,1,3,2,1,1,2
248,3,1,3,2,1,2,2
249,3,1,3,2,2,0,2
250,3,1,3,2,2,1,2
251,3,1,3,2,2,2,2
252,3,1,3,4,0,0,2
253,3,1,3,4,0,1,2
254,3,1,3,4,0,2,0
255,3,1,3,4,1,0,2
256,3,1,3,4,1,1,2
257,3,1,3,4,1,2,0
258,3,1,3,4,2,0,2
259,3,1,3,4,2,1,0
260,3,1,3,4,2,2,0
261,3,1,3,5,0,0,2
262,3,1,3,5,0,1,2
263,3,1,3,5,0,2,0
264,3,1,3,5,1,0,2
265,3,1,3,5,1,1,0
266,3,1,3,5,1,2,0
267,3,1,3,5,2,0,2
268,3,1,3,5,2,1,0
269,3,1,3,5,2,2,0
270,3,1,4,2,0,0,2
271,3,1,4,2,0,1,2
272,3,1,4,2,0,2,2
273,3,1,4,2,1,0,2
274,3,1,4,2,1,1,2
275,3,1,4,2,1,2,2
276,3,1,4,2,2,0,2
277,3,1,4,2,2,1,2
278,3,1,4,2,2,2,2
279,3,1,4,4,0,0,2
280,3,1,4,4,0,1,2
281,3,1,4,4,0,2,0
282,3,1,4,4,1,0,2
283,3,1,4,4,1,1,0
284,3,1,4,4,1,2,0
285,3,1,4,4,2,0,2
286,3,1,4,4,2,1,0
287,3,1,4,4,2,2,0
288,3,1,4,5,0,0,2
289,3,1,4,5,0,1,2
290,3,1,4,5,0,2,0
291,3,1,4,5,1,0,2
292,3,1,4,5,1,1,0
