,Unnamed: 0,buying price,maintanence price,doors,capacity (persons),luggage boot size,estimated safety,class_pred,class
3,3,1,1,4,5,2,0,1,0
229,229,2,2,4,5,2,0,0,0
120,120,1,2,5,2,0,0,1,1
96,96,1,3,4,2,2,2,2,2
20,20,3,0,3,4,0,1,2,2
146,146,1,0,4,4,1,1,0,0
45,45,2,2,3,4,2,1,1,1
34,34,2,3,4,5,1,0,2,2
92,92,1,3,2,2,1,0,1,1
55,55,2,2,4,5,2,0,0,0
224,224,0,0,4,5,1,0,0,0
88,88,2,0,4,5,1,0,2,1
65,65,2,1,4,5,0,0,2,1
233,233,1,3,4,5,2,2,0,0
49,49,2,2,4,4,0,2,2,2
62,62,2,1,3,2,2,1,2,2
162,162,0,3,4,2,2,1,2,2
99,99,1,3,4,5,1,1,2,2
46,46,2,2,4,2,0,1,1,1
104,104,1,3,5,4,2,0,2,2
12,12,3,2,4,5,2,2,1,1
191,191,0,2,5,4,0,1,0,2
56,56,2,2,5,2,2,1,2,2
180,180,0,2,4,2,2,2,2,2
76,76,2,1,5,4,2,1,1,1
33,33,2,3,4,5,0,1,2,0
235,235,1,1,4,4,0,2,0,0
105,105,1,3,5,4,2,1,0,2
74,74,2,1,5,2,2,1,2,2
214,214,0,1,5,2,2,2,0,2
254,254,1,1,4,5,0,0,2,0
15,15,1,1,2,4,0,2,0,0
78,78,2,0,2,2,2,0,1,1
154,154,1,0,5,2,2,1,2,2
109,109,1,2,3,2,1,2,1,1
180,180,0,2,4,2,2,2,2,2
83,83,2,0,4,2,0,2,1,1
124,124,1,2,5,4,1,2,2,2
147,147,1,0,4,4,2,2,1,1
201,201,0,1,4,2,1,2,1,1
