,buying price,maintanence price,doors,capacity (persons),luggage boot size,estimated safety,class_pred,class
38,0.0,1.0,5.0,4.0,0.0,1.0,0,0
387,1.0,2.0,2.0,5.0,1.0,2.0,0,0
625,1.0,1.0,5.0,5.0,0.0,2.0,1,0
876,0.0,0.0,3.0,4.0,1.0,2.0,3,1
595,1.0,1.0,3.0,4.0,0.0,2.0,1,0
692,3.0,1.0,3.0,4.0,0.0,1.0,2,2
75,1.0,2.0,3.0,5.0,1.0,2.0,0,0
113,1.0,1.0,3.0,5.0,0.0,1.0,0,0
248,1.0,2.0,5.0,4.0,2.0,2.0,3,0
266,3.0,2.0,2.0,4.0,2.0,2.0,2,2
647,0.0,0.0,5.0,5.0,2.0,1.0,1,1
460,0.0,2.0,5.0,5.0,1.0,2.0,3,3
299,0.0,0.0,5.0,5.0,2.0,2.0,3,3
262,0.0,3.0,4.0,4.0,1.0,1.0,0,0
285,1.0,3.0,5.0,4.0,2.0,2.0,0,0
294,1.0,3.0,3.0,4.0,1.0,2.0,0,0
476,0.0,1.0,4.0,5.0,1.0,2.0,3,3
355,0.0,1.0,4.0,5.0,0.0,2.0,1,1
245,0.0,0.0,4.0,4.0,2.0,2.0,3,3
631,1.0,0.0,4.0,5.0,1.0,1.0,1,1
705,0.0,0.0,4.0,4.0,0.0,2.0,1,1
21,0.0,1.0,2.0,5.0,1.0,0.0,2,2
638,0.0,3.0,3.0,5.0,1.0,2.0,0,0
194,1.0,2.0,5.0,4.0,2.0,1.0,0,0
51,0.0,0.0,3.0,4.0,2.0,2.0,3,3
861,0.0,1.0,5.0,4.0,1.0,1.0,1,1
485,0.0,1.0,3.0,5.0,2.0,1.0,1,1
268,1.0,0.0,5.0,4.0,1.0,1.0,1,1
286,0.0,2.0,3.0,4.0,0.0,1.0,0,0
747,1.0,0.0,3.0,4.0,0.0,0.0,2,2
647,0.0,0.0,5.0,5.0,2.0,1.0,1,1
732,1.0,0.0,2.0,5.0,2.0,1.0,1,1
378,0.0,0.0,2.0,4.0,2.0,2.0,3,3
705,0.0,0.0,4.0,4.0,0.0,2.0,1,1
99,0.0,1.0,3.0,5.0,2.0,2.0,3,3
556,1.0,0.0,3.0,2.0,1.0,2.0,2,2
864,2.0,2.0,5.0,2.0,0.0,0.0,2,2
691,2.0,2.0,5.0,2.0,2.0,2.0,2,2
222,1.0,0.0,2.0,5.0,0.0,0.0,2,2
727,3.0,1.0,2.0,2.0,1.0,2.0,2,2
